date,product,category,region,sales_amount,units_sold,customer_id,payment_method
2024-01-01,USB Cable,Accessories,West,25.98,2,C1535,Credit Card
2024-01-01,USB Cable,Accessories,West,24.68,2,C1726,PayPal
2024-01-01,Smartphone,Electronics,West,1599.98,2,C1129,Credit Card
2024-01-01,Desk Organizer,Office Supplies,South,29.99,1,C1402,Credit Card
2024-01-01,Laptop,Electronics,East,1234.99,1,C2366,Credit Card
2024-01-01,Headphones,Electronics,South,159.99,1,C2026,Credit Card
2024-01-01,Headphones,Electronics,North,143.99,1,C2227,PayPal
2024-01-01,Notebook,Office Supplies,West,19.98,2,C1475,Credit Card
2024-01-01,Tablet,Electronics,West,449.99,1,C2131,Cash
2024-01-01,Power Bank,Accessories,South,37.99,1,C1383,Credit Card
2024-01-01,Desk Organizer,Office Supplies,East,29.99,1,C1018,Cash
2024-01-01,Desk Organizer,Office Supplies,North,56.98,2,C2349,Cash
2024-01-01,Headphones,Electronics,East,479.97,3,C2120,Cash
2024-01-01,Keyboard,Accessories,South,79.99,1,C1658,Credit Card
2024-01-01,Ergonomic Chair,Office Supplies,West,899.96,4,C1224,Debit Card
2024-01-01,Notebook,Office Supplies,North,35.96,4,C1010,Cash
2024-01-01,LED Desk Lamp,Office Supplies,East,87.38,2,C1165,Debit Card
2024-01-01,Tablet,Electronics,West,999.98,2,C1219,Debit Card
2024-01-01,Keyboard,Accessories,South,319.96,4,C1326,Debit Card
2024-01-01,Ergonomic Chair,Office Supplies,East,499.98,2,C1376,Debit Card
2024-01-01,LED Desk Lamp,Office Supplies,North,43.69,1,C1958,Cash
2024-01-01,LED Desk Lamp,Office Supplies,North,45.99,1,C2253,PayPal
2024-01-01,Power Bank,Accessories,South,37.99,1,C2287,Debit Card
2024-01-01,Laptop,Electronics,West,2599.98,2,C1883,PayPal
2024-01-01,USB Cable,Accessories,East,12.99,1,C1580,PayPal
2024-01-02,Ergonomic Chair,Office Supplies,North,249.99,1,C1478,Cash
2024-01-02,Ergonomic Chair,Office Supplies,South,499.98,2,C2282,Debit Card
2024-01-02,Tablet,Electronics,East,499.99,1,C1936,PayPal
2024-01-02,Notebook,Office Supplies,North,9.99,1,C1006,Credit Card
2024-01-02,Mouse,Accessories,East,22.49,1,C2442,PayPal
2024-01-02,Monitor,Electronics,South,314.99,1,C2082,Debit Card
2024-01-02,Keyboard,Accessories,East,75.99,1,C1027,Debit Card
2024-01-02,Laptop,Electronics,West,2469.98,2,C2284,Cash
2024-01-02,Notebook,Office Supplies,West,9.49,1,C2435,Credit Card
2024-01-02,LED Desk Lamp,Office Supplies,South,41.39,1,C1104,Credit Card
2024-01-02,Ergonomic Chair,Office Supplies,West,224.99,1,C2441,Cash
2024-01-02,Mousepad,Accessories,East,37.98,2,C1495,PayPal
2024-01-02,Monitor,Electronics,South,332.49,1,C1356,Credit Card
2024-01-02,Webcam,Electronics,South,89.99,1,C2313,PayPal
2024-01-02,Mousepad,Accessories,South,39.98,2,C1273,Cash
2024-01-02,Webcam,Electronics,East,80.99,1,C2377,PayPal
2024-01-02,Webcam,Electronics,South,89.99,1,C2009,PayPal
2024-01-02,Keyboard,Accessories,North,75.99,1,C1355,Cash
2024-01-02,Monitor,Electronics,West,349.99,1,C2309,Cash
2024-01-02,Desk Organizer,Office Supplies,East,53.98,2,C1823,Debit Card
2024-01-02,Notebook,Office Supplies,East,26.97,3,C2139,Credit Card
2024-01-02,Desk Organizer,Office Supplies,West,53.98,2,C2147,PayPal
2024-01-02,Laptop,Electronics,East,1299.99,1,C1757,Cash
2024-01-02,Desk Organizer,Office Supplies,South,56.98,2,C1806,Debit Card
2024-01-02,Webcam,Electronics,East,449.95,5,C1255,Debit Card
2024-01-02,Smartphone,Electronics,East,799.99,1,C1792,Cash
2024-01-02,Laptop,Electronics,North,3899.97,3,C1252,Credit Card
2024-01-02,Ergonomic Chair,Office Supplies,South,449.98,2,C2281,Debit Card
2024-01-02,Mouse,Accessories,North,74.97,3,C2097,Cash
2024-01-02,Webcam,Electronics,West,170.98,2,C1020,Debit Card
2024-01-02,Ergonomic Chair,Office Supplies,West,499.98,2,C1539,Credit Card
2024-01-02,Laptop,Electronics,South,3509.97,3,C1738,Debit Card
2024-01-02,LED Desk Lamp,Office Supplies,East,229.95,5,C2247,PayPal
2024-01-02,Power Bank,Accessories,South,35.99,1,C2087,Debit Card
2024-01-02,Keyboard,Accessories,West,79.99,1,C2024,Debit Card
2024-01-03,USB Cable,Accessories,North,12.99,1,C1955,Credit Card
2024-01-03,LED Desk Lamp,Office Supplies,North,45.99,1,C2248,PayPal
2024-01-03,Ergonomic Chair,Office Supplies,West,749.97,3,C1585,PayPal
2024-01-03,Mouse,Accessories,North,24.99,1,C2063,Debit Card
2024-01-03,Power Bank,Accessories,South,79.98,2,C1097,PayPal
2024-01-03,Mousepad,Accessories,East,19.99,1,C1192,PayPal
2024-01-03,Laptop,Electronics,South,4939.96,4,C1056,Credit Card
2024-01-03,Smartphone,Electronics,South,759.99,1,C2319,Credit Card
2024-01-03,Webcam,Electronics,West,80.99,1,C1319,Credit Card
2024-01-03,Tablet,Electronics,East,499.99,1,C2042,Cash
2024-01-03,Ergonomic Chair,Office Supplies,East,249.99,1,C1520,Credit Card
2024-01-03,Desk Organizer,Office Supplies,West,59.98,2,C1978,PayPal
2024-01-03,LED Desk Lamp,Office Supplies,East,43.69,1,C2178,PayPal
2024-01-03,Power Bank,Accessories,West,79.98,2,C1133,Credit Card
2024-01-03,USB Cable,Accessories,West,12.99,1,C1173,Cash
2024-01-03,Tablet,Electronics,South,449.99,1,C2092,Cash
2024-01-03,Desk Organizer,Office Supplies,North,56.98,2,C1063,Debit Card
2024-01-03,Keyboard,Accessories,South,215.97,3,C1824,Credit Card
2024-01-03,LED Desk Lamp,Office Supplies,North,367.92,8,C2314,Cash
2024-01-03,Ergonomic Chair,Office Supplies,East,249.99,1,C2175,PayPal
2024-01-03,Mousepad,Accessories,East,19.99,1,C1538,Debit Card
2024-01-03,Mouse,Accessories,East,124.95,5,C1164,Debit Card
2024-01-03,LED Desk Lamp,Office Supplies,East,43.69,1,C1239,Credit Card
2024-01-03,Mousepad,Accessories,West,19.99,1,C2375,Debit Card
2024-01-04,Monitor,Electronics,East,314.99,1,C2385,PayPal
2024-01-04,Monitor,Electronics,West,314.99,1,C1188,PayPal
2024-01-04,Laptop,Electronics,East,1299.99,1,C2418,PayPal
2024-01-04,Mouse,Accessories,East,24.99,1,C1874,Cash
2024-01-04,Smartphone,Electronics,North,3999.95,5,C1183,Cash
2024-01-04,Laptop,Electronics,South,2339.98,2,C1273,Credit Card
2024-01-04,Notebook,Office Supplies,South,9.99,1,C2038,Credit Card
2024-01-04,Monitor,Electronics,East,1749.95,5,C1852,Debit Card
2024-01-04,Mousepad,Accessories,North,99.95,5,C2420,Cash
2024-01-04,Headphones,Electronics,West,159.99,1,C2422,Credit Card
2024-01-04,Notebook,Office Supplies,East,18.98,2,C2224,PayPal
2024-01-04,Ergonomic Chair,Office Supplies,East,224.99,1,C1987,Credit Card
2024-01-04,Mousepad,Accessories,North,19.99,1,C2470,Credit Card
2024-01-04,Power Bank,Accessories,East,75.98,2,C1954,Credit Card
