date,product,category,region,sales_amount,units_sold,customer_id,payment_method
2024-01-15,Laptop,Electronics,North,1299.99,1,C1001,Credit Card
2024-01-15,Mouse,Accessories,South,24.99,3,C1002,PayPal
2024-01-16,Keyboard,Accessories,East,79.99,2,C1003,Debit Card
2024-01-16,Monitor,Electronics,West,349.99,1,C1004,Credit Card
2024-01-17,Laptop,Electronics,North,1299.99,1,C1005,Credit Card
2024-01-17,USB Cable,Accessories,South,12.99,5,C1006,Cash
2024-01-18,Webcam,Electronics,East,89.99,2,C1007,PayPal
2024-01-18,Headphones,Electronics,West,159.99,1,C1008,Credit Card
2024-01-19,Mouse,Accessories,North,24.99,4,C1009,Debit Card
2024-01-19,Laptop,Electronics,South,1299.99,1,C1010,Credit Card
2024-01-20,Monitor,Electronics,East,349.99,2,C1011,Credit Card
2024-01-20,Keyboard,Accessories,West,79.99,1,C1012,PayPal
2024-01-21,USB Cable,Accessories,North,12.99,8,C1013,Cash
2024-01-21,Webcam,Electronics,South,89.99,1,C1014,Debit Card
2024-01-22,Headphones,Electronics,East,159.99,2,C1015,Credit Card
2024-01-22,Mouse,Accessories,West,24.99,2,C1016,PayPal
2024-01-23,Laptop,Electronics,North,1299.99,2,C1017,Credit Card
2024-01-23,Monitor,Electronics,South,349.99,1,C1018,Credit Card
2024-01-24,Keyboard,Accessories,East,79.99,3,C1019,Debit Card
2024-01-24,USB Cable,Accessories,West,12.99,6,C1020,Cash
2024-01-25,Webcam,Electronics,North,89.99,1,C1021,PayPal
2024-01-25,Headphones,Electronics,South,159.99,3,C1022,Credit Card
2024-01-26,Mouse,Accessories,East,24.99,5,C1023,Debit Card
2024-01-26,Laptop,Electronics,West,1299.99,1,C1024,Credit Card
2024-01-27,Monitor,Electronics,North,349.99,2,C1025,Credit Card
2024-01-27,Keyboard,Accessories,South,79.99,2,C1026,PayPal
2024-01-28,USB Cable,Accessories,East,12.99,10,C1027,Cash
2024-01-28,Webcam,Electronics,West,89.99,1,C1028,Debit Card
2024-01-29,Headphones,Electronics,North,159.99,1,C1029,Credit Card
2024-01-29,Mouse,Accessories,South,24.99,4,C1030,PayPal
2024-01-30,Laptop,Electronics,East,1299.99,1,C1031,Credit Card
2024-01-30
